time,result,link
"73. Aukcia umeleckého remesla a starožitností, 19.06.2007",Na aukcii bolo vydražených 110 diel (37%)  v celkovej hodnote 341 182 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/73-aukcia-umeleckeho-remesla-a-starozitnosti
"72. Letná aukcia výtvarných diel, 12.06.2007",Na aukcii bolo vydražených 174 diel (62%)  v celkovej hodnote 307 013 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/72-letna-aukcia-vytvarnych-diel
"71. Aukcia súčasného slovenského umenia, 22.05.2007",Na aukcii bolo vydražených 55 diel (54%)  v celkovej hodnote 90 737 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/71-aukcia-sucasneho-slovenskeho-umenia
"70. Jarná aukcia výtvarných diel, 20.03.2007",Na aukcii bolo vydražených 149 diel (63%)  v celkovej hodnote 347 567 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/70-jarna-aukcia-vytvarnych-diel
"69. Aukcia umeleckého remesla a starožitností, 05.12.2006",Na aukcii bolo vydražených 69 diel (23%)  v celkovej hodnote 222 749 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/69-aukcia-umeleckeho-remesla-a-starozitnosti
"68. Zimná aukcia výtvarných diel, 28.11.2006",Na aukcii bolo vydražených 136 diel (54%)  v celkovej hodnote 244 757 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/68-zimna-aukcia-vytvarnych-diel
"67. Jesenná aukcia výtvarných diel, 03.10.2006",Na aukcii bolo vydražených 158 diel (61%)  v celkovej hodnote 285 074 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/67-jesenna-aukcia-vytvarnych-diel
"66. Aukcia umeleckého remesla a starožitností, 20.06.2006",Na aukcii bolo vydražených 77 diel (29%)  v celkovej hodnote 200 923 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/66-aukcia-umeleckeho-remesla-a-starozitnosti
"65. Letná aukcia výtvarných diel, 06.06.2006",Na aukcii bolo vydražených 99 diel (51%)  v celkovej hodnote 175 829 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/65-letna-aukcia-vytvarnych-diel
"64. Aukcia súčasného slovenského umenia, 16.05.2006",Na aukcii bolo vydražených 39 diel (42%)  v celkovej hodnote 60 346 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/64-aukcia-sucasneho-slovenskeho-umenia
"63. Jarná aukcia výtvarných diel, 28.03.2006",Na aukcii bolo vydražených 117 diel (56%)  v celkovej hodnote 344 184 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/63-jarna-aukcia-vytvarnych-diel
"62. Aukcia umeleckého remesla a starožitností, 13.12.2005",Na aukcii bolo vydražených 62 diel (27%)  v celkovej hodnote 276 339 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/62-aukcia-umeleckeho-remesla-a-starozitnosti
"61. Zimná aukcia výtvarných diel, 29.11.2005",Na aukcii bolo vydražených 115 diel (43%)  v celkovej hodnote 236 454 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/61-zimna-aukcia-vytvarnych-diel
"60. Aukcia fotografie, 05.11.2005",Na aukcii bolo vydražených 22 diel (31%)  v celkovej hodnote 7 572 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/60-aukcia-fotografie
"59. Jesenná aukcia výtvarných diel, 04.10.2005",Na aukcii bolo vydražených 110 diel (39%)  v celkovej hodnote 705 533 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/59-jesenna-aukcia-vytvarnych-diel
"58. Letná aukcia výtvarných diel , 14.06.2005",Na aukcii bolo vydražených 158 diel (55%)  v celkovej hodnote 286 720 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/58-letna-aukcia-vytvarnych-diel
"57. Aukcia umeleckého remesla a starožitností, 07.06.2005",Na aukcii bolo vydražených 45 diel (25%)  v celkovej hodnote 55 054 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/57-aukcia-umeleckeho-remesla-a-starozitnosti
"56. Aukcia súčasného slovenského umenia, 10.05.2005",Na aukcii bolo vydražených 70 diel (48%)  v celkovej hodnote 88 630 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/56-aukcia-sucasneho-slovenskeho-umenia
"55. Jarná aukcia výtvarných diel, 15.03.2005",Na aukcii bolo vydražených 171 diel (51%)  v celkovej hodnote 321 108 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/55-jarna-aukcia-vytvarnych-diel
"54. Aukcia umeleckého remesla a starožitností, 14.12.2004",Na aukcii bolo vydražených 51 diel (38%)  v celkovej hodnote 53 387 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/54-aukcia-umeleckeho-remesla-a-starozitnosti
"53. Zimná aukcia výtvarných diel, 30.11.2004",Na aukcii bolo vydražených 160 diel (54%)  v celkovej hodnote 392 183 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/53-zimna-aukcia-vytvarnych-diel
"52. mimoradna aukcia fotografie, 05.11.2004",Na aukcii bolo vydražených 36 diel (36%)  v celkovej hodnote 16 004 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/52-mimoradna-aukcia-fotografie
"51. Jesenná aukcia výtvarných diel, 12.10.2004",Na aukcii bolo vydražených 180 diel (52%)  v celkovej hodnote 343 946 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/51-jesenna-aukcia-vytvarnych-diel
"50. mimoriadna aukcia súčasného slovenského umenia, 30.09.2004",Na aukcii bolo vydražených 67 diel (36%)  v celkovej hodnote 33 739 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/50-mimoriadna-aukcia-sucasneho-slovenskeho-umenia
