name,piece,id,nevydražené,poradové_číslo,vyvolávacia_cena,konečná_cena,cena_v predaji,odhadovaná_cena,vysledok
,Zlatý prsteň s briliantom, Zlatý prsteň s briliantom,NA,281,3500,NA,NA,NA,NA
,Zlatý prsteň s diamantom, Zlatý prsteň s diamantom,NA,303,4300,NA,NA,NA,NA
,Zlatý prsteň s perlou, Zlatý prsteň s perlou,NA,321,250,NA,NA,NA,NA
,Zlatý prsteň v tvare mašle, Zlatý prsteň v tvare mašle,NA,282,6500,NA,NA,NA,NA
ABBATI GIUSEPPE - PRIPISOVANÉ (1836 - 1868),Nočný prístav,ABBATI GIUSEPPE - PRIPISOVANÉ (1836 - 1868) Nočný prístav,NA,191,12e3,NA,NA,NA,NA
ÁCS ÁGOSTON (1889 - 1945),Dedinka na puste,ÁCS ÁGOSTON (1889 - 1945) Dedinka na puste,NA,136,300,300,NA,NA,0
ÁCS ÁGOSTON (1889 - 1945),Na priedomí (kŕmenie sliepok),ÁCS ÁGOSTON (1889 - 1945) Na priedomí (kŕmenie sliepok),NA,93,NA,NA,1 200 €,NA,NA
ÁCS ÁGOSTON (1889 - 1945),Rodina na priedomí,ÁCS ÁGOSTON (1889 - 1945) Rodina na priedomí,NA,146,1e3,NA,NA,NA,NA
ÁCS ÁGOSTON (1889 - 1945),Ženy na priedomí,ÁCS ÁGOSTON (1889 - 1945) Ženy na priedomí,NA,146,2500,NA,NA,NA,NA
ADAMČIAK MILAN (1946 - 2017),Okupácia,ADAMČIAK MILAN (1946 - 2017) Okupácia,NA,78,NA,NA,1 200 €,NA,NA
ADAMČIAK MILAN (1946),Aha. Moderna – Postmoderna,ADAMČIAK MILAN (1946) Aha. Moderna – Postmoderna,NA,340,120,NA,NA,NA,NA
ADAMČIAK MILAN (1946),Aha. Tradične – Nekonvenčne,ADAMČIAK MILAN (1946) Aha. Tradične – Nekonvenčne,NA,341,120,NA,NA,NA,NA
ADAMČIAK MILAN (1946),Chodecké kusy,ADAMČIAK MILAN (1946) Chodecké kusy,NA,338,150,150,NA,NA,0
ADAMČIAK MILAN (1946),Pečiatkový záznam AJG,ADAMČIAK MILAN (1946) Pečiatkový záznam AJG,NA,255,300,300,NA,NA,0
ADAMČIAK MILAN (1946),Pečiatkový záznam BVC,ADAMČIAK MILAN (1946) Pečiatkový záznam BVC,NA,254,300,300,NA,NA,0
ADAMČIAK MILAN (1946),Perfect Lines (Pocta Milan Grygarovi),ADAMČIAK MILAN (1946) Perfect Lines (Pocta Milan Grygarovi),NA,332,550,NA,NA,NA,NA
ADAMČIAK MILAN (1946),Pour le piano et Mr. Dalibor Chatrný,ADAMČIAK MILAN (1946) Pour le piano et Mr. Dalibor Chatrný,NA,273,900,700,NA,NA,-200
ADAMČIAK MILAN (1946),Sólo pre moriaka,ADAMČIAK MILAN (1946) Sólo pre moriaka,NA,337,150,NA,NA,NA,NA
ADAMČIAK MILAN (1946),Streifen Quartet I.,ADAMČIAK MILAN (1946) Streifen Quartet I.,NA,269,1300,1050,NA,NA,-250
ADAMČIAK MILAN (1946),Streifen Quartet II.,ADAMČIAK MILAN (1946) Streifen Quartet II.,NA,270,1300,1050,NA,NA,-250
ADAMČIAK MILAN (1946),Streifen Quartet III.,ADAMČIAK MILAN (1946) Streifen Quartet III.,NA,271,1300,1050,NA,NA,-250
ADAMČIAK MILAN (1946),Streifen Quartet IV.,ADAMČIAK MILAN (1946) Streifen Quartet IV.,NA,272,1300,1050,NA,NA,-250
ADAMČIAK MILAN (1946),Vier Sätze und / oder Vier Stucke fur K. Malewitsch I.,ADAMČIAK MILAN (1946) Vier Sätze und / oder Vier Stucke fur K. Malewitsch I.,NA,335,400,320,NA,NA,-80
ADAMČIAK MILAN (1946),Vier Sätze und / oder Vier Stucke fur K. Malewitsch II.,ADAMČIAK MILAN (1946) Vier Sätze und / oder Vier Stucke fur K. Malewitsch II.,NA,333,400,320,NA,NA,-80
ADAMČIAK MILAN (1946),Vier Sätze und / oder Vier Stucke fur K. Malewitsch III.,ADAMČIAK MILAN (1946) Vier Sätze und / oder Vier Stucke fur K. Malewitsch III.,NA,334,400,320,NA,NA,-80
ADAMČIAK MILAN (1946),Vier Sätze und / oder Vier Stucke fur K. Malewitsch IV.,ADAMČIAK MILAN (1946) Vier Sätze und / oder Vier Stucke fur K. Malewitsch IV.,NA,336,400,320,NA,NA,-80
ADAMČIAK MILAN (1946),Vírenie pre najmenej dva zvukové zdroje,ADAMČIAK MILAN (1946) Vírenie pre najmenej dva zvukové zdroje,NA,339,150,NA,NA,NA,NA
ADAMČIAK MILAN (1946),Z cyklu Haiku - Japonské motívy,ADAMČIAK MILAN (1946) Z cyklu Haiku - Japonské motívy,NA,89,NA,8e3,NA,"8 000,00 - 9 000,00 €",NA
AGAM YAAKOV (1928),Bez názvu,AGAM YAAKOV (1928) Bez názvu,NA,82,NA,NA,NA,NA,NA
AGAM YAAKOV (1928),Gazim,AGAM YAAKOV (1928) Gazim,NA,83,NA,NA,NA,NA,NA
AKIDOS AMBRÓZ (1894 - 1960),Kytica,AKIDOS AMBRÓZ (1894 - 1960) Kytica,NA,32,200,NA,NA,NA,NA
AKNAI JÁNOS (1949),Kompozícia,AKNAI JÁNOS (1949) Kompozícia,NA,180,500,NA,NA,NA,NA
ALEXY JANKO (1894 - 1970),Akt,ALEXY JANKO (1894 - 1970) Akt,NA,61,700,550,NA,NA,-150
ALEXY JANKO (1894 - 1970),Bratislavský dóm,ALEXY JANKO (1894 - 1970) Bratislavský dóm,NA,105,1e3,NA,NA,NA,NA
ALEXY JANKO (1894 - 1970),Bratislavský motív,ALEXY JANKO (1894 - 1970) Bratislavský motív,NA,95,5500,NA,NA,NA,NA
ALEXY JANKO (1894 - 1970),Chalupy,ALEXY JANKO (1894 - 1970) Chalupy,NA,35,NA,4e3,NA,"6 000,00 - 8 000,00 €",NA
ALEXY JANKO (1894 - 1970),Detvanci,ALEXY JANKO (1894 - 1970) Detvanci,NA,82,7600,NA,NA,NA,NA
ALEXY JANKO (1894 - 1970),Fiľakovo 1580 (Návrh na vitráž),ALEXY JANKO (1894 - 1970) Fiľakovo 1580 (Návrh na vitráž),NA,88,1e3,NA,NA,NA,NA
ALEXY JANKO (1894 - 1970),Hlava ženy v kroji,ALEXY JANKO (1894 - 1970) Hlava ženy v kroji,NA,93,700,NA,NA,NA,NA
ALEXY JANKO (1894 - 1970),"Horí ohník, horí","ALEXY JANKO (1894 - 1970) Horí ohník, horí",NA,117,1e3,1e3,NA,NA,0
ALEXY JANKO (1894 - 1970),Hôrni chlapci,ALEXY JANKO (1894 - 1970) Hôrni chlapci,NA,92,500,NA,NA,NA,NA
ALEXY JANKO (1894 - 1970),Horská krajina,ALEXY JANKO (1894 - 1970) Horská krajina,NA,93,1500,NA,NA,NA,NA
ALEXY JANKO (1894 - 1970),Jar,ALEXY JANKO (1894 - 1970) Jar,NA,98,300,300,NA,NA,0
ALEXY JANKO (1894 - 1970),Korvínova brána Bratislavského hradu,ALEXY JANKO (1894 - 1970) Korvínova brána Bratislavského hradu,NA,96,1500,NA,NA,NA,NA
ALEXY JANKO (1894 - 1970),Krajina (Od Liptovského hrádku),ALEXY JANKO (1894 - 1970) Krajina (Od Liptovského hrádku),NA,97,2500,NA,NA,NA,NA
ALEXY JANKO (1894 - 1970),Krajina od Piešťan,ALEXY JANKO (1894 - 1970) Krajina od Piešťan,NA,89,2500,NA,NA,NA,NA
ALEXY JANKO (1894 - 1970),Krásna Hôrka 1560 (Návrh na vitráž),ALEXY JANKO (1894 - 1970) Krásna Hôrka 1560 (Návrh na vitráž),NA,87,1e3,NA,NA,NA,NA
ALEXY JANKO (1894 - 1970),Kytica,ALEXY JANKO (1894 - 1970) Kytica,NA,92,1200,1200,NA,NA,0
ALEXY JANKO (1894 - 1970),Lekáreň u Červeného raka v Bratislave,ALEXY JANKO (1894 - 1970) Lekáreň u Červeného raka v Bratislave,NA,86,4e3,3200,NA,NA,-800
ALEXY JANKO (1894 - 1970),Les v Sliači,ALEXY JANKO (1894 - 1970) Les v Sliači,NA,59,350,450,NA,NA,100
ALEXY JANKO (1894 - 1970),Mikuláš - Ján Pongrác ( Návrh na vitráž),ALEXY JANKO (1894 - 1970) Mikuláš - Ján Pongrác ( Návrh na vitráž),NA,85,1e3,NA,NA,NA,NA
ALEXY JANKO (1894 - 1970),Mojmír,ALEXY JANKO (1894 - 1970) Mojmír,NA,57,NA,NA,2 000 €,NA,NA
ALEXY JANKO (1894 - 1970),Motív z Bratislavy,ALEXY JANKO (1894 - 1970) Motív z Bratislavy,NA,97,NA,500,NA,NA,NA
ALEXY JANKO (1894 - 1970),Motív zo starej Bratislavy,ALEXY JANKO (1894 - 1970) Motív zo starej Bratislavy,NA,60,350,400,NA,NA,50
ALEXY JANKO (1894 - 1970),Na okraji parku,ALEXY JANKO (1894 - 1970) Na okraji parku,NA,81,800,800,NA,NA,0
ALEXY JANKO (1894 - 1970),Národ oslavuje pod Hradom Devín,ALEXY JANKO (1894 - 1970) Národ oslavuje pod Hradom Devín,NA,109,800,650,NA,NA,-150
ALEXY JANKO (1894 - 1970),Park v Sliači,ALEXY JANKO (1894 - 1970) Park v Sliači,NA,82,700,NA,NA,NA,NA
ALEXY JANKO (1894 - 1970),Podvečer pri kaštieli,ALEXY JANKO (1894 - 1970) Podvečer pri kaštieli,NA,115,3e3,NA,NA,NA,NA
ALEXY JANKO (1894 - 1970),Strečno - Karol Robert (Návrh na vitráž),ALEXY JANKO (1894 - 1970) Strečno - Karol Robert (Návrh na vitráž),NA,90,1e3,NA,NA,NA,NA
ALEXY JANKO (1894 - 1970),Trenčiansky hrad,ALEXY JANKO (1894 - 1970) Trenčiansky hrad,NA,90,1200,950,NA,NA,-250
ALEXY JANKO (1894 - 1970),Trenčín 1730 (Návrh na vitráž),ALEXY JANKO (1894 - 1970) Trenčín 1730 (Návrh na vitráž),NA,86,1e3,NA,NA,NA,NA
ALEXY JANKO (1894 - 1970),V Čáčove,ALEXY JANKO (1894 - 1970) V Čáčove,NA,80,1400,1400,NA,NA,0
ALEXY JANKO (1894 - 1970),V lese – Sliač,ALEXY JANKO (1894 - 1970) V lese – Sliač,NA,82,800,800,NA,NA,0
ALEXY JANKO (1894 - 1970),V parku,ALEXY JANKO (1894 - 1970) V parku,NA,107,900,NA,NA,NA,NA
ALEXY JANKO (1894 - 1970),V Tatrách,ALEXY JANKO (1894 - 1970) V Tatrách,NA,91,1200,1400,NA,NA,200
ALEXY JANKO (1894 - 1970),Vígľaš - Gabriel Betlen 1619 (Návrh na vitráž),ALEXY JANKO (1894 - 1970) Vígľaš - Gabriel Betlen 1619 (Návrh na vitráž),NA,89,1e3,NA,NA,NA,NA
ALEXY JANKO (1894 - 1970),Vinobranie,ALEXY JANKO (1894 - 1970) Vinobranie,NA,87,3600,3600,NA,NA,0
ALEXY JANKO (1894 - 1970),Zbojník Ďurica (Návrh na vitráž),ALEXY JANKO (1894 - 1970) Zbojník Ďurica (Návrh na vitráž),NA,58,NA,NA,500 €,NA,NA
ALEXY JANKO (1894 - 1970),Žena od Tekova,ALEXY JANKO (1894 - 1970) Žena od Tekova,NA,88,1200,1100,NA,NA,-100
ALEXY JANKO (1894 - 1970),Ženy so Zázrivej,ALEXY JANKO (1894 - 1970) Ženy so Zázrivej,NA,116,1800,NA,NA,NA,NA
ALEXYOVÁ-FÍGEROVÁ KATARÍNA (1963),Ex mero motu II,ALEXYOVÁ-FÍGEROVÁ KATARÍNA (1963) Ex mero motu II,NA,250,800,NA,NA,NA,NA
ALLOT ROBERT (1850 - 1910),Prímorská krajina s figurálnou stafážou,ALLOT ROBERT (1850 - 1910) Prímorská krajina s figurálnou stafážou,NA,232,2e3,NA,NA,NA,NA
ALVIANI GETULIO (1939),Objekt,ALVIANI GETULIO (1939) Objekt,NA,79,NA,14e3,NA,"14 000,00 - 20 000,00 €",NA
AMBRUŠOVÁ EDITA (1920),Gazda z Cífera,AMBRUŠOVÁ EDITA (1920) Gazda z Cífera,NA,5,100,250,NA,NA,150
AMBRUŠOVÁ EDITA (1920),Na družstevnom dvore,AMBRUŠOVÁ EDITA (1920) Na družstevnom dvore,NA,6,100,280,NA,NA,180
ANDERLE JIŘÍ (1936),Love game in the Car (Jiřímu Suchému),ANDERLE JIŘÍ (1936) Love game in the Car (Jiřímu Suchému),NA,226,600,600,NA,NA,0
ANDERLE JIŘÍ (1936),Zaľúbený sedliacky pár (podla Dürera),ANDERLE JIŘÍ (1936) Zaľúbený sedliacky pár (podla Dürera),NA,129,NA,NA,400 €,NA,NA
ANDRÁSSY GÉZA - PRIPISOVANÉ (1856 - 1938),Práca na poli,ANDRÁSSY GÉZA - PRIPISOVANÉ (1856 - 1938) Práca na poli,NA,138,1e3,NA,NA,NA,NA
ANGYAL GEJZA (1888 - 1956),Letecký útok,ANGYAL GEJZA (1888 - 1956) Letecký útok,NA,51,NA,NA,1 300 €,NA,NA
ANNIGONI PIETRO (1910 - 1988),Výhonok,ANNIGONI PIETRO (1910 - 1988) Výhonok,NA,242,700,NA,NA,NA,NA
ANTALOVÁ ELVÍRA (1924 - 2011),Červená ruža,ANTALOVÁ ELVÍRA (1924 - 2011) Červená ruža,NA,23,450,450,NA,NA,0
ARCHIPENKO ALEXANDER - podľa (1887 - 1964),Čierne torzo,ARCHIPENKO ALEXANDER - podľa (1887 - 1964) Čierne torzo,NA,198,300,400,NA,NA,100
ARCHIPENKO ALEXANDER - podľa (1887 - 1964),Matka s dieťaťom,ARCHIPENKO ALEXANDER - podľa (1887 - 1964) Matka s dieťaťom,NA,199,1100,NA,NA,NA,NA
ARCHIPENKO ALEXANDER – PODĽA (1887 - 1964),Čierne torzo,ARCHIPENKO ALEXANDER – PODĽA (1887 - 1964) Čierne torzo,NA,188,2e3,NA,NA,NA,NA
AUGUSTA JAROSLAV (1878 - 1970),Žena s dieťaťom  (Na lúke),AUGUSTA JAROSLAV (1878 - 1970) Žena s dieťaťom  (Na lúke),NA,3,280,150,NA,NA,-130
AURELIO ROBERTI (1842 - 1915),Galantná scéna I.,AURELIO ROBERTI (1842 - 1915) Galantná scéna I.,NA,190,220,NA,NA,NA,NA
AURELIO ROBERTI (1842 - 1915),Galantná scéna II.,AURELIO ROBERTI (1842 - 1915) Galantná scéna II.,NA,191,220,NA,NA,NA,NA
AURELIO ROBERTI (1842 - 1915),Galantná scéna III.,AURELIO ROBERTI (1842 - 1915) Galantná scéna III.,NA,192,220,NA,NA,NA,NA
AXMAN MILOŠ (1926 - 1990),Sediace dievča,AXMAN MILOŠ (1926 - 1990) Sediace dievča,NA,238,1500,NA,NA,NA,NA
B. ROUBILLE AUGUSTE JEAN (1872 - 1955),Malý prístav,B. ROUBILLE AUGUSTE JEAN (1872 - 1955) Malý prístav,NA,210,450,NA,NA,NA,NA
BACHORÍK OTO (1959),Katedrála,BACHORÍK OTO (1959) Katedrála,NA,249,4e3,NA,NA,NA,NA
BACHORÍK OTO (1959),Okamih,BACHORÍK OTO (1959) Okamih,NA,250,4500,NA,NA,NA,NA
BADER (XIX. - XX.),Železné vráta na Dunaji I.,BADER (XIX. - XX.) Železné vráta na Dunaji I.,NA,229,300,240,NA,NA,-60
BADER (XIX. - XX.),Železné vráta na Dunaji II.,BADER (XIX. - XX.) Železné vráta na Dunaji II.,NA,230,300,240,NA,NA,-60
Baláž Jozef (1923 - 2006),Goodbye,Baláž Jozef (1923 - 2006) Goodbye,NA,49,NA,30,NA,NA,NA
BALÁŽ JOZEF (1923 - 2006),Kompozícia,BALÁŽ JOZEF (1923 - 2006) Kompozícia,NA,52,30,NA,NA,NA,NA
BALCER Antonín (XIX. - XX.),Žena v lese,BALCER Antonín (XIX. - XX.) Žena v lese,NA,207,350,550,NA,NA,200
BALESTRA ANTONIO - v štýle (1666 - 1740),Madona s dieťaťom,BALESTRA ANTONIO - v štýle (1666 - 1740) Madona s dieťaťom,NA,196,2500,2600,NA,NA,100
BALKO STANISLAV (1943),Balance,BALKO STANISLAV (1943) Balance,NA,317,800,650,NA,NA,-150
BALKO STANISLAV (1943),Bozk,BALKO STANISLAV (1943) Bozk,NA,200,550,NA,NA,NA,NA
BALKO STANISLAV (1943),V priestore,BALKO STANISLAV (1943) V priestore,NA,236,400,400,NA,NA,0
BALKO STANISLAV (1943),Z cyklu Volanie v šedom,BALKO STANISLAV (1943) Z cyklu Volanie v šedom,NA,233,300,240,NA,NA,-60
BALKO STANISLAV (1943),Z rodinného album,BALKO STANISLAV (1943) Z rodinného album,NA,235,300,NA,NA,NA,NA
BALKO STANISLAV (1943),Z väčšieho cyklu,BALKO STANISLAV (1943) Z väčšieho cyklu,NA,235,700,NA,NA,NA,NA
BALKO STANISLAV (1943),Žonglér,BALKO STANISLAV (1943) Žonglér,NA,272,300,240,NA,NA,-60
BALOGH  JÚLIUS LUDWIG (1921),Cesta do dediny,BALOGH  JÚLIUS LUDWIG (1921) Cesta do dediny,NA,14,400,NA,NA,NA,NA
BALOGH JÚLIUS LUDWIG (1921 - 2003),Kytica v keramickej váze,BALOGH JÚLIUS LUDWIG (1921 - 2003) Kytica v keramickej váze,NA,19,200,350,NA,NA,150
BALOGH JÚLIUS LUDWIG (1921 - 2003),Vysoké Tatry,BALOGH JÚLIUS LUDWIG (1921 - 2003) Vysoké Tatry,NA,17,100,100,NA,NA,0
BALOGH JÚLIUS LUDWIG (1921),Horská dedina,BALOGH JÚLIUS LUDWIG (1921) Horská dedina,NA,32,600,NA,NA,NA,NA
BALOGH JÚLIUS LUDWIG (1921),Jediná,BALOGH JÚLIUS LUDWIG (1921) Jediná,NA,42,150,180,NA,NA,30
BALOGH JÚLIUS LUDWIG (1921),Pod Tatrami,BALOGH JÚLIUS LUDWIG (1921) Pod Tatrami,NA,33,400,400,NA,NA,0
BÁN PAVOL (1892 - 1959),Muž so zemeguľou,BÁN PAVOL (1892 - 1959) Muž so zemeguľou,NA,77,1600,NA,NA,NA,NA
BÁNRÉVY MAGDA (1911),Milenci,BÁNRÉVY MAGDA (1911) Milenci,NA,127,500,NA,NA,NA,NA
BÁNSAGHI VINCENT (1881 - 1960),Na okraji dediny,BÁNSAGHI VINCENT (1881 - 1960) Na okraji dediny,NA,66,600,NA,NA,NA,NA
BÁNSÁGHI VINCENT (1881 - 1960),Odmäk (Štúrovo),BÁNSÁGHI VINCENT (1881 - 1960) Odmäk (Štúrovo),NA,86,1500,1500,NA,NA,0
BARABÁS MIKLÓS (1810 - 1898),Dáma s kyticou konvaliniek,BARABÁS MIKLÓS (1810 - 1898) Dáma s kyticou konvaliniek,NA,148,6500,NA,NA,NA,NA
BARABÁS MIKLÓS (1810 - 1898),Uhorský hodnostár,BARABÁS MIKLÓS (1810 - 1898) Uhorský hodnostár,NA,125,4e3,NA,NA,NA,NA
BARČÍK ANDREJ (1928 - 2004),Akt – Dedinčianka,BARČÍK ANDREJ (1928 - 2004) Akt – Dedinčianka,NA,221,1200,1200,NA,NA,0
BARČÍK ANDREJ (1928 - 2004),Krajina z Bretagne,BARČÍK ANDREJ (1928 - 2004) Krajina z Bretagne,NA,195,180,NA,NA,NA,NA
BARČÍK ANDREJ (1928 - 2004),Morena II.,BARČÍK ANDREJ (1928 - 2004) Morena II.,NA,57,NA,55e3,NA,50 000 – 60 000 €,NA
BARČÍK ANDREJ (1928 - 2004),Veľká sediaca postava,BARČÍK ANDREJ (1928 - 2004) Veľká sediaca postava,NA,75,NA,5e4,NA,44 000 – 50 000 €,NA
BARON KAROL (1939 - 2004),"Agifimba, z cyklu Cartosexgrafie","BARON KAROL (1939 - 2004) Agifimba, z cyklu Cartosexgrafie",NA,204,500,NA,NA,NA,NA
BARON KAROL (1939 - 2004),Bez názvu,BARON KAROL (1939 - 2004) Bez názvu,NA,249,900,700,NA,NA,-200
BARON KAROL (1939 - 2004),Imaginatívny portrét Dr. Ľubka,BARON KAROL (1939 - 2004) Imaginatívny portrét Dr. Ľubka,NA,248,1200,950,NA,NA,-250
BARON KAROL (1939 - 2004),"La Germania, z cyklu Cartosexgrafie","BARON KAROL (1939 - 2004) La Germania, z cyklu Cartosexgrafie",NA,202,800,650,NA,NA,-150
BARON KAROL (1939 - 2004),"Mare Adriatico, z cyklu Cartosexgrafie","BARON KAROL (1939 - 2004) Mare Adriatico, z cyklu Cartosexgrafie",NA,203,500,NA,NA,NA,NA
BARON KAROL (1939 - 2004),Mutant,BARON KAROL (1939 - 2004) Mutant,NA,244,950,750,NA,NA,-200
BARON KAROL (1939 - 2004),Mutanti,BARON KAROL (1939 - 2004) Mutanti,NA,250,1200,NA,NA,NA,NA
BARON KAROL (1939 - 2004),"Oceano Orientale, z cyklu Cartosexgrafie","BARON KAROL (1939 - 2004) Oceano Orientale, z cyklu Cartosexgrafie",NA,205,500,NA,NA,NA,NA
BARON KAROL (1939 - 2004),Patafyzická kompozícia,BARON KAROL (1939 - 2004) Patafyzická kompozícia,NA,228,550,850,NA,NA,300
BARON KAROL (1939 - 2004),Somnambulovia,BARON KAROL (1939 - 2004) Somnambulovia,NA,270,1200,NA,NA,NA,NA
BARON KAROL (1939 - 2004),Stretnutie dvoch,BARON KAROL (1939 - 2004) Stretnutie dvoch,NA,271,500,500,NA,NA,0
BARON KAROL (1939 - 2004),Taká malá zbytočná entita,BARON KAROL (1939 - 2004) Taká malá zbytočná entita,NA,206,1e3,NA,NA,NA,NA
BÁRTFAY JÚLIUS (1888 - 1979),Barónka,BÁRTFAY JÚLIUS (1888 - 1979) Barónka,NA,90,1300,NA,NA,NA,NA
BÁRTFAY JÚLIUS (1888 - 1979),Detvan,BÁRTFAY JÚLIUS (1888 - 1979) Detvan,NA,102,1450,NA,NA,NA,NA
BÁRTFAY JÚLIUS (1888 - 1979),Detvanec,BÁRTFAY JÚLIUS (1888 - 1979) Detvanec,NA,89,850,NA,NA,NA,NA
BÁRTFAY JÚLIUS (1888 - 1979),Hlava tanečnice,BÁRTFAY JÚLIUS (1888 - 1979) Hlava tanečnice,NA,56,600,600,NA,NA,0
BÁRTFAY JÚLIUS (1888 - 1979),Hrbáč,BÁRTFAY JÚLIUS (1888 - 1979) Hrbáč,NA,87,5900,4700,NA,NA,-1200
BÁRTFAY JÚLIUS (1888 - 1979),Merkúr,BÁRTFAY JÚLIUS (1888 - 1979) Merkúr,NA,104,2400,1900,NA,NA,-500
BÁRTFAY JÚLIUS (1888 - 1979),Milenka,BÁRTFAY JÚLIUS (1888 - 1979) Milenka,NA,97,950,1200,NA,NA,250
BÁRTFAY JÚLIUS (1888 - 1979),Nevesta,BÁRTFAY JÚLIUS (1888 - 1979) Nevesta,NA,96,1800,NA,NA,NA,NA
BÁRTFAY JÚLIUS (1888 - 1979),Parížanka,BÁRTFAY JÚLIUS (1888 - 1979) Parížanka,NA,89,1100,NA,NA,NA,NA
BÁRTFAY JÚLIUS (1888 - 1979),Pribina,BÁRTFAY JÚLIUS (1888 - 1979) Pribina,NA,55,950,950,NA,NA,0
BÁRTFAY JÚLIUS (1888 - 1979),Sediaci akt,BÁRTFAY JÚLIUS (1888 - 1979) Sediaci akt,NA,90,5200,NA,NA,NA,NA
BÁRTFAY JÚLIUS (1888 - 1979),Slovenka,BÁRTFAY JÚLIUS (1888 - 1979) Slovenka,NA,90,850,NA,NA,NA,NA
BÁRTFAY JÚLIUS (1888 - 1979),Smútok,BÁRTFAY JÚLIUS (1888 - 1979) Smútok,NA,88,1900,NA,NA,NA,NA
BÁRTFAY JÚLIUS (1888 - 1979),Sv. Ján Evanjelista,BÁRTFAY JÚLIUS (1888 - 1979) Sv. Ján Evanjelista,NA,137,1e3,1300,NA,NA,300
BÁRTFAY JÚLIUS (1888 - 1979),Táňa,BÁRTFAY JÚLIUS (1888 - 1979) Táňa,NA,91,1e3,NA,NA,NA,NA
BÁRTFAY JÚLIUS (1888 - 1979),Tanečnica,BÁRTFAY JÚLIUS (1888 - 1979) Tanečnica,NA,98,2900,4200,NA,NA,1300
BÁRTFAY JÚLIUS (1888 - 1979),Tanečnica - torzo,BÁRTFAY JÚLIUS (1888 - 1979) Tanečnica - torzo,NA,100,900,900,NA,NA,0
BÁRTFAY JÚLIUS (1888 - 1979),Vojak,BÁRTFAY JÚLIUS (1888 - 1979) Vojak,NA,88,1100,NA,NA,NA,NA
BÁRTFAY TIBOR  (1922 - 2015),Zlaté rúno I.,BÁRTFAY TIBOR  (1922 - 2015) Zlaté rúno I.,NA,64,NA,NA,55 000 €,NA,NA
BÁRTFAY TIBOR (1922 - 2015),Ležiaci akt,BÁRTFAY TIBOR (1922 - 2015) Ležiaci akt,NA,28,1500,NA,NA,NA,NA
BÁRTFAY TIBOR (1922 - 2015),Magická dedina,BÁRTFAY TIBOR (1922 - 2015) Magická dedina,NA,152,1500,1200,NA,NA,-300
BÁRTFAY TIBOR (1922 - 2015),Malá Marína,BÁRTFAY TIBOR (1922 - 2015) Malá Marína,NA,27,950,NA,NA,NA,NA
BÁRTFAY TIBOR (1922 - 2015),Maska,BÁRTFAY TIBOR (1922 - 2015) Maska,NA,151,1500,1500,NA,NA,0
BÁRTFAY TIBOR (1922 - 2015),Masky,BÁRTFAY TIBOR (1922 - 2015) Masky,NA,231,1500,1250,NA,NA,-250
BÁRTFAY TIBOR (1922 - 2015),Mysliteľ,BÁRTFAY TIBOR (1922 - 2015) Mysliteľ,NA,53,2700,2150,NA,NA,-550
BÁRTFAY TIBOR (1922 - 2015),Prométheus,BÁRTFAY TIBOR (1922 - 2015) Prométheus,NA,244,1500,NA,NA,NA,NA
BÁRTFAY TIBOR (1922 - 2015),Ranený,BÁRTFAY TIBOR (1922 - 2015) Ranený,NA,25,4500,NA,NA,NA,NA
BÁRTFAY TIBOR (1922 - 2015),Žena s dieťaťom,BÁRTFAY TIBOR (1922 - 2015) Žena s dieťaťom,NA,19,NA,NA,800 €,NA,NA
BÁRTFAY TIBOR (1922),Ležiaci akt,BÁRTFAY TIBOR (1922) Ležiaci akt,NA,184,1500,1750,NA,NA,250
BÁRTFAY TIBOR (1922),Upálený,BÁRTFAY TIBOR (1922) Upálený,NA,114,900,NA,NA,NA,NA
BÁRTFAY TIBOR (1922),Veľká kytica,BÁRTFAY TIBOR (1922) Veľká kytica,NA,36,2700,NA,NA,NA,NA
BÁRTFAY TIBOR (1922),Žena a kvet,BÁRTFAY TIBOR (1922) Žena a kvet,NA,35,1500,1500,NA,NA,0
BARTOŠ PETER  (1938),Skalná brána (v spolupráci s Iľjom Bartošom),BARTOŠ PETER  (1938) Skalná brána (v spolupráci s Iľjom Bartošom),NA,76,NA,3200,NA,2 000 – 3 000 €,NA
BARTOŠ PETER (1938),Keby,BARTOŠ PETER (1938) Keby,NA,186,500,1500,NA,NA,1e3
BARTOŠ PETER (1938),Parky a skala,BARTOŠ PETER (1938) Parky a skala,NA,76,NA,500,NA,"700,00 - 1 000,00 €",NA
BARTOŠ PETER (1938),Pokračovanie Karpát,BARTOŠ PETER (1938) Pokračovanie Karpát,NA,187,1500,3e3,NA,NA,1500
BARTOŠ PETER (1938),Púť po krajine Nomadart,BARTOŠ PETER (1938) Púť po krajine Nomadart,NA,94,NA,5e3,NA,"5 000,00 – 6 000,00 €",NA
BARTOŠÍKOVÁ  OĽGA (1922),Pocta jablku,BARTOŠÍKOVÁ  OĽGA (1922) Pocta jablku,NA,233,2e3,NA,NA,NA,NA
BARTOŠÍKOVÁ  OĽGA (1922),Záhrada,BARTOŠÍKOVÁ  OĽGA (1922) Záhrada,NA,234,1500,NA,NA,NA,NA
BARTOŠÍKOVÁ OĽGA (1922),Postava,BARTOŠÍKOVÁ OĽGA (1922) Postava,NA,208,2e3,NA,NA,NA,NA
